tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,valuable,52,,
rollChance,essence,16,,
rollChance,weapon,1,,
tagChance,essence&1,19,,
tagChance,essence&2,1,,
item,brloot_valuable_liquor,8,,
item,brloot_valuable_cannedfood,42,,
item,brloot_valuable_freshwater,22,,
item,brloot_valuable_importedtea,8,,
item,brloot_valuable_mre,21,,
item,brloot_valuable_wine,14,,
item,brloot_valuable_wine_aged,6,,
item,brloot_valuable_wine_vintage,1,,
tagChance,small&pi&1,10,,
tagChance,small&pi&2,5,,
tagChance,small&pi&3,1,,
reqAdd,,1,0,100
reqAdd,,1,0,50
reqAdd,,1,0,25
