tagReject,nodmz,100,,
tagReject,nodrop,100,,
tagReject,biolabs,100,,
rollChance,tactical,14,,
rollChance,valuable,47,,
rollChance,super,7,,
rollChance,lethal,14,,
rollChance,key,1,,
rollChance,weapon,1,,
rollChance,killstreak,1,,
rollChance,personal,10,,
item,brloot_killstreak_precision_airstrike,1,,
item,brloot_killstreak_cluster_spike,12,,
item,brloot_offhand_atmine,2,,
item,brloot_offhand_c4,3,,
item,brloot_offhand_claymore,2,,
item,brloot_offhand_concussion,3,,
item,brloot_offhand_decoy,5,,
item,obloot_offhand_blackhole_bomb,2,,
item,obloot_offhand_monkey_bomb,2,,
item,brloot_offhand_shockstick,3,,
item,brloot_offhand_smoke,8,,
item,brloot_offhand_snapshot,4,,
item,brloot_offhand_thermite,1,,
item,brloot_personal_oldwatch,1,,
item,brloot_personal_pictureofacat,1,,
item,brloot_personal_pictureofadog,1,,
item,brloot_personal_toyknife,1,,
item,brloot_valuable_battery,70,,
item,brloot_valuable_car_battery,12,,
item,brloot_valuable_drill,20,,
item,brloot_valuable_electrical_tape,80,,
item,brloot_valuable_electroniccomponents,30,,
item,brloot_valuable_game_console,5,,
item,brloot_valuable_gunoil,10,,
item,brloot_valuable_harddrive,10,,
item,brloot_valuable_jumper_cables,100,,
item,brloot_valuable_laptop,5,,
item,brloot_valuable_screwdriver,120,,
item,brloot_valuable_screwdriver,14,,
item,brloot_valuable_thumb_drive,30,,
item,brloot_valuable_vcr,5,,
item,brloot_valuable_watch,5,,
item,brloot_valuable_wrench,120,,
tagChance,key&pristine&keytier1,4,,
tagChance,key&pristine&keytier2,1,,
tagChance,key&used&hero,1,,
tagChance,key&used&keytier1,5,,
tagChance,key&used&keytier2,2,,
item,loot_key_fortress,10,,
tagChance,weapon&small&[0-1],10,,
tagChance,weapon&small&[2-3],2,,
tagChance,weapon&small&4,1,,
item,brloot_valuable_blow_torch,23,,
reqAdd,valuable,1,0,100
reqAdd,,1,0,100
reqAdd,,1,0,50
