1,REV_OB_BIGBOUNTY,JUP_OB_OBJECTIVES/BIGBOUNTY_TITLE,JUP_OB_OBJECTIVES/BIGBOUNTY_DESC,,,jup_ui_icon_contract_act_big_bounty,,0,p,,,,,,,,,REV_OB_BIGBOUNTY,,,0
2,REV_OB_VEHICLE_DRIVE,MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,MP_DMZ_MISSIONS/VEHICLEDRIVE_DESC,,,jup_ui_icon_contract_act_cargo_delivery,,0,,,,,,,,,,REV_OB_VEHICLE_DRIVE,,,0
3,REV_OB_OUTLAST,JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_STARTER_TITLE,JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_PND_PHASE,,,jup_ui_icon_contract_act_outlast,,0,i,1,,,,,,,,REV_OB_OUTLAST,,,0
4,REV_OB_OUTLAST_ANALYSIS_PHASE,JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_STARTER_TITLE,JUP_OB_OBJECTIVES/OUTLAST_ACTIVITY_ANALYZE_PHASE,,,jup_ui_icon_contract_act_outlast,,0,i,1,,,,,,,,REV_OB_OUTLAST,,,0
5,ACTIVITY_NEXUS_TEST_TYPE,JUP_OB_OBJECTIVES/NEXUS_TEMPLATE_TITLE,JUP_OB_OBJECTIVES/NEXUS_TEMPLATE_DESC,,,ui_map_icon_obj_assassin,,0,,,,,,,,,,ACTIVITY_NEXUS_TEST_TYPE,,,0
6,REV_OB_ESCORT_ZOMBIES,JUP_OB_OBJECTIVES/ESCORT_ZOMBIES_ACTIVITY_BEGIN_TITLE,JUP_OB_OBJECTIVES/ESCORT_ZOMBIES_ACTIVITY_HEALTH,,,jup_ui_icon_contract_act_zombie_escort,,0,i,1,,,,,,,,REV_OB_ESCORT_ZOMBIES,,,0
7,REV_OB_SABOTAGE_THREE_EXTRACTORS,JUP_OB_OBJECTIVES/SABOTAGE_ACTIVITY_BEGIN_TITLE,JUP_OB_OBJECTIVES/SABOTAGE_PLAYER_JOIN_TITLE,3,JUP_OB_OBJECTIVES/SABOTAGE_OBJECTIVE_COUNTER,jup_tac_contract_act_aether_extractor,,1,i,1,,,,,,,,REV_OB_SABOTAGE,,,0
8,REV_OB_ZOMBIE_CONTROL,JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_BEGIN_TITLE,JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_INHIBITOR_PHASE,,,jup_ui_icon_contract_act_spore_control,,0,,,,,,,,,,REV_OB_ZOMBIE_CONTROL,,,0
9,REV_OB_ZOMBIE_CONTROL_SPORE_PHASE,JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_BEGIN_TITLE,JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_SPORE_PHASE,6,JUP_OB_OBJECTIVES/ZOMBIE_CONTROL_ACTIVITY_SPORE_PHASE,jup_ui_icon_contract_act_spore_control,,0,i,1,,,,,,,,REV_OB_ZOMBIE_CONTROL,,,0
10,REV_OB_RELIC_HUNT,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_ASSIGNED_TITLE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_AETHER_COUNTER_PHASE,,,ui_map_icon_obj_scavenger,,0,,,,,,,,,,REV_OB_RELIC_HUNT,,,0
11,REV_OB_RELIC_HUNT_FIND_ENTITY,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_ASSIGNED_TITLE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_FIND_ENTITY_PHASE,,,ui_map_icon_obj_scavenger,,0,,,,,,,,,,REV_OB_RELIC_HUNT,,,0
12,REV_OB_RELIC_HUNT_RELIC_PHASE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_ASSIGNED_TITLE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_RELIC_PHASE,8,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_RELIC_PHASE,ui_map_icon_obj_scavenger,,0,i,1,,,,,,,,REV_OB_RELIC_HUNT,,,0
13,REV_OB_RELIC_HUNT_DESTROY_ENTITY_PHASE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_ASSIGNED_TITLE,JUP_OB_OBJECTIVES/RELIC_HUNT_ACTIVITY_DESTROY_ENTITY_PHASE,,,ui_map_icon_obj_scavenger,,0,,,,,,,,,,REV_OB_RELIC_HUNT,,,0
14,REV_OB_DEFEND_MERCS,JUP_OB_OBJECTIVES/DEFEND_ACTIVITY_BEGIN_TITLE,JUP_OB_OBJECTIVES/DEFEND_ACTIVITY_HEALTH,,JUP_OB_OBJECTIVES/DEFEND_ACTIVITY_HEALTH,jup_ui_contract_act_merc_defend,,1,i,1,,,,,,,,REV_OB_DEFEND_MERCS,,,0
