ui_br_player_position,1,,c,i,155,1,155,,,,,,,
ui_br_squad_eliminated_active,1,,c,i,0,0,2,,,,,,,
ui_br_team_placement,1,,c,i,1,0,511,,,,,,,
ui_br_team_cash_banked,1,,c,i,0,0,131071,,,,,,,
ui_br_team_cash_pockets,1,,c,i,0,0,131071,,,,,,,
ui_br_cash_leader,1,,g,i,0,0,131071,,,,,,,
ui_br_cash_second,1,,g,i,0,0,131071,,,,,,,
ui_br_infil_exfil_player_focus,1,,c,i,-1,-1,65534,,,,,1,#packed: 8 bits (player index); 8 bits (accolade index),
ui_br_infil_chyron_change,1,,c,i,-1,-1,1,,,,,,,
ui_br_overtime_cash_multiplier,1,,g,f,2,1,8,,,,,,,
ui_br_leader_hash_percentage_hit,1,,g,b,0,0,1,,,,,,,
ui_gas_mask,1,,c,i,0,0,3,,,,,1,,
ui_gas_mask_opacity_override,1,,c,f,0,-1,1,,,,,1,,
ui_flag_player_hud_icon,1,,c,b,0,0,1,,,,,,,
ui_br_matchinfo_bot_stats,1,,g,a,0,0,4294967295,,,,,,,#packed: 16 bits (two types of ui bot count); 8 bits (active bot count); 8 bits (human count)
ui_br_matchinfo_bot_gulag_stats,1,,g,a,0,0,255,,,,,,,
ui_br_gulag_lethal_delay,1,,c,b,0,0,1,,,,,,,
ui_edge_item_gain,1,,c,i,0,0,1000000000,,,,,,,
ui_br_player_is_in_gas,1,,c,b,0,0,1,,,,,,,
ui_keypad_data,1,,c,i,0,0,4194303,,,,,,,#packed: 2 bits (Keypad State); 4 bits (Code Length); 4 bits (Most Recent Digit Index); 8 bits (Objective ID); 4 bits (Attempts Remaining);
